model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,45362,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr2e-05_ffan_ep2,fan,,dev,0.21393137206448734,0.955823055028463,0.16,0.1398002853067047,0.14921964217738864,1206,1029,48161,196
bert,45362,16,2e-05,,fan,,test,,0.9620129351644842,0.17587476979742173,0.15929941618015012,0.1671772428884026,1008,895,48002,191
bert,45362,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr2e-05_f1_ep2,1,,dev,0.24915876307355198,0.9593276826859776,0.1441208993733874,0.19327731092436976,0.16511824324324323,1632,2322,92871,391
bert,45362,16,2e-05,,1,,test,,0.962220376073918,0.21421319796954313,0.16212063004225893,0.18456155696479337,2181,1548,94553,422
bert,45362,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr2e-05_f2_ep4,2,,dev,0.09276447594101613,0.9290302318041822,0.11222692036645525,0.2447176334998079,0.15388331924145426,1966,5039,91062,637
bert,45362,16,2e-05,,2,,test,,0.9038780834914611,0.1141600092624754,0.3221169552433845,0.16857582492733802,2075,7651,90472,986
bert,45362,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr2e-05_f3_ep4,3,,dev,0.09359107033599327,0.9594006957621758,0.27367055771725035,0.2067951649787651,0.2355787123185709,2428,1680,96443,633
bert,45362,16,2e-05,,3,,test,,0.9676910231345716,0.24933333333333332,0.15448161916563405,0.1907676613108901,2047,1126,94661,374
bert,45362,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr2e-05_f4_ep1,4,,dev,0.32613044069555036,0.9621517595307918,0.18513119533527697,0.15737298636926889,0.17012726054922972,2040,1677,94110,381
bert,45362,16,2e-05,,4,,test,,0.9617117117117117,0.2365544381285527,0.2177938808373591,0.2267868371410606,1943,1746,92118,541
bert,45362,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr2e-05_f5_ep4,5,,dev,0.0950453551884857,0.9305953418856645,0.13356582388840454,0.3083735909822866,0.18639737194305875,1718,4969,88895,766
bert,45362,16,2e-05,,5,,test,,0.9347813180288937,0.10732600732600732,0.2544507164567955,0.1509725621538065,1717,4874,93883,586
bert,45362,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr2e-05_f6_ep3,6,,dev,0.1467869396471444,0.9524935681773204,0.14657611771363893,0.22492401215805471,0.17748843584032892,1785,3016,95741,518
bert,45362,16,2e-05,,6,,test,,0.9590298296029466,0.11098398169336385,0.1448481831757093,0.1256748002591233,1718,2331,94488,291
bert,45362,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr2e-05_f7_ep2,7,,dev,0.24079369680490345,0.972528028493949,0.19931856899488926,0.11647585863613738,0.1470311027332705,1775,940,95879,234
bert,45362,16,2e-05,,7,,test,,0.9597080440996325,0.17393645665051158,0.11805555555555555,0.14064881341171348,2413,1534,93690,323
bert,45362,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr2e-05_f8_ep3,8,,dev,0.14149879370786947,0.9528889342588812,0.12465041949660408,0.11403508771929824,0.11910669975186103,2424,2191,93033,312
bert,45362,16,2e-05,,8,,test,,0.9544699302966445,0.09606183290393816,0.11352762070465419,0.10406698564593302,2038,2456,93949,261
bert,45362,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr2e-05_f9_ep3,9,,dev,0.15260264876616847,0.9593734803047496,0.09397247271001424,0.0861244019138756,0.08987743985474354,2101,1909,94496,198
bert,45362,16,2e-05,,9,,test,,0.9612981808180425,0.14818652849740932,0.11076684740511232,0.12677304964539005,2296,1644,97578,286
bert,45362,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr2e-05_f10_ep2,10,,dev,0.2553578212035629,0.9691171270284076,0.26776859504132233,0.1254841208365608,0.17088607594936708,2258,886,98336,324
bert,45362,16,2e-05,,10,,test,,0.966991030283081,0.14786223277909738,0.12308452792881859,0.1343404370110602,1774,1435,93758,249
